Elapsed Time, AVG Throughput, AVG Queue Size, AVG Waiting Time, AVG Service Time, AVG Response Time, AVG SET Response Time, AVG GET Response Time, AVG MULTI-GET Response Time, #SETS, #GETS, #MULTIGETS, GET MissRatio, MULTI-GET MissRatio, AVG MULTI-GET Size
SET, 82.9, 0
SET, 83.0, 0
SET, 83.1, 0
SET, 83.2, 0
SET, 83.3, 0
SET, 83.4, 0
SET, 83.5, 2
SET, 83.6, 3
SET, 83.7, 2
SET, 83.8, 3
SET, 83.9, 5
SET, 84.0, 3
SET, 84.1, 3
SET, 84.2, 3
SET, 84.3, 4
SET, 84.4, 3
SET, 84.5, 1
SET, 84.6, 1
SET, 84.7, 0
SET, 84.8, 1
SET, 84.9, 1
SET, 85.0, 1
SET, 85.1, 0
SET, 85.2, 0
SET, 85.3, 0
SET, 85.4, 0
SET, 85.5, 0
SET, 85.6, 2
SET, 85.7, 1
SET, 85.8, 2
SET, 85.9, 0
SET, 86.0, 0
SET, 86.1, 0
SET, 86.2, 0
SET, 86.3, 0
SET, 86.4, 0
SET, 86.5, 0
SET, 86.6, 0
SET, 86.7, 0
SET, 86.8, 0
SET, 86.9, 0
SET, 87.0, 0
SET, 87.1, 0
SET, 87.2, 0
SET, 87.3, 0
SET, 87.4, 0
SET, 87.5, 1
SET, 87.6, 0
SET, 87.7, 0
SET, 87.8, 1
SET, 87.9, 0
SET, 88.0, 0
SET, 88.1, 0
SET, 88.2, 1
SET, 88.3, 1
SET, 88.4, 1
SET, 88.5, 0
SET, 88.6, 2
SET, 88.7, 4
SET, 88.8, 1
SET, 88.9, 0
SET, 89.0, 0
SET, 89.1, 0
SET, 89.2, 0
SET, 89.3, 0
SET, 89.4, 0
SET, 89.5, 0
SET, 89.6, 0
SET, 89.7, 0
SET, 89.8, 0
SET, 89.9, 0
SET, 90.0, 0
SET, 90.1, 0
SET, 90.2, 0
SET, 90.3, 0
SET, 90.4, 0
SET, 90.5, 0
SET, 90.6, 0
SET, 90.7, 0
SET, 90.8, 0
SET, 90.9, 0
SET, 91.0, 0
SET, 91.1, 0
SET, 91.2, 0
SET, 91.3, 0
SET, 91.4, 0
SET, 91.5, 0
SET, 91.6, 0
SET, 91.7, 0
SET, 91.8, 1
SET, 91.9, 2
SET, 92.0, 3
SET, 92.1, 4
SET, 92.2, 8
SET, 92.3, 3
SET, 92.4, 5
