2018-11-20 14:40:20 (3096158428105) INFO  - START: Middleware listening on address 10.0.0.11:8888.
2018-11-20 14:41:45 (3181554802338) STATS -  5.00, 3782, 76, 19.699389, 1.788661, 21.577400, 21.577400, 0.000000, 0.000000, 18913, 0, 0, 0.00, 0.00, 0
2018-11-20 14:41:47 (3183452978929) STATS - SET, 28.9, 166
2018-11-20 14:41:47 (3183453030229) STATS - SET, 29.0, 144
2018-11-20 14:41:47 (3183453121329) STATS - SET, 29.1, 156
2018-11-20 14:41:47 (3183453197129) STATS - SET, 29.2, 138
2018-11-20 14:41:47 (3183453255629) STATS - SET, 29.3, 172
2018-11-20 14:41:47 (3183453313229) STATS - SET, 29.4, 141
2018-11-20 14:41:47 (3183453373829) STATS - SET, 29.5, 161
2018-11-20 14:41:47 (3183453432829) STATS - SET, 29.6, 123
2018-11-20 14:41:47 (3183453511929) STATS - SET, 29.7, 144
2018-11-20 14:41:47 (3183453565629) STATS - SET, 29.8, 140
2018-11-20 14:41:47 (3183453620029) STATS - SET, 29.9, 134
2018-11-20 14:41:47 (3183453672829) STATS - SET, 30.0, 105
2018-11-20 14:41:47 (3183453727829) STATS - SET, 30.1, 120
2018-11-20 14:41:47 (3183453784429) STATS - SET, 30.2, 130
2018-11-20 14:41:47 (3183453838829) STATS - SET, 30.3, 122
2018-11-20 14:41:47 (3183453932229) STATS - SET, 30.4, 133
2018-11-20 14:41:47 (3183454036929) STATS - SET, 30.5, 140
2018-11-20 14:41:47 (3183454096629) STATS - SET, 30.6, 127
2018-11-20 14:41:47 (3183454154929) STATS - SET, 30.7, 128
2018-11-20 14:41:47 (3183454213429) STATS - SET, 30.8, 106
2018-11-20 14:41:47 (3183454272529) STATS - SET, 30.9, 107
2018-11-20 14:41:47 (3183461400529) STATS - SET, 31.0, 127
2018-11-20 14:41:47 (3183461542829) STATS - SET, 31.1, 116
2018-11-20 14:41:47 (3183461600829) STATS - SET, 31.2, 105
2018-11-20 14:41:47 (3183461653529) STATS - SET, 31.3, 121
2018-11-20 14:41:47 (3183461704829) STATS - SET, 31.4, 112
2018-11-20 14:41:47 (3183461755329) STATS - SET, 31.5, 101
2018-11-20 14:41:47 (3183461807829) STATS - SET, 31.6, 118
2018-11-20 14:41:47 (3183461857729) STATS - SET, 31.7, 130
2018-11-20 14:41:47 (3183461910129) STATS - SET, 31.8, 112
2018-11-20 14:41:47 (3183461960029) STATS - SET, 31.9, 123
2018-11-20 14:41:47 (3183462007829) STATS - SET, 32.0, 111
2018-11-20 14:41:47 (3183462057229) STATS - SET, 32.1, 116
2018-11-20 14:41:47 (3183462106629) STATS - SET, 32.2, 92
2018-11-20 14:41:47 (3183462156329) STATS - SET, 32.3, 90
2018-11-20 14:41:47 (3183462205929) STATS - SET, 32.4, 102
2018-11-20 14:41:47 (3183462255729) STATS - SET, 32.5, 98
2018-11-20 14:41:47 (3183462304829) STATS - SET, 32.6, 109
2018-11-20 14:41:47 (3183462354029) STATS - SET, 32.7, 102
2018-11-20 14:41:47 (3183462403429) STATS - SET, 32.8, 88
2018-11-20 14:41:47 (3183462452929) STATS - SET, 32.9, 85
2018-11-20 14:41:47 (3183462500129) STATS - SET, 33.0, 84
2018-11-20 14:41:47 (3183462548929) STATS - SET, 33.1, 76
2018-11-20 14:41:47 (3183462598329) STATS - SET, 33.2, 86
2018-11-20 14:41:47 (3183462647629) STATS - SET, 33.3, 79
