2018-11-23 21:03:50 (12262404884001) INFO  - START: Middleware listening on address 10.0.0.4:8888.
2018-11-23 21:05:10 (12342977884691) STATS -  5.00, 2775, 2, 1.184091, 4.623557, 6.007181, 0.000000, 6.007181, 0.000000, 0, 13879, 0, 0.00, 0.00, 0
2018-11-23 21:05:12 (12344331231939) STATS - GET, 23.8, 8
2018-11-23 21:05:12 (12344331338842) STATS - GET, 23.9, 8
2018-11-23 21:05:12 (12344331567950) STATS - GET, 24.0, 17
2018-11-23 21:05:12 (12344331806359) STATS - GET, 24.1, 10
2018-11-23 21:05:12 (12344331903162) STATS - GET, 24.2, 9
2018-11-23 21:05:12 (12344331995065) STATS - GET, 24.3, 7
2018-11-23 21:05:12 (12344332129570) STATS - GET, 24.4, 12
2018-11-23 21:05:12 (12344332221073) STATS - GET, 24.5, 18
2018-11-23 21:05:12 (12344332311676) STATS - GET, 24.6, 12
2018-11-23 21:05:12 (12344332408480) STATS - GET, 24.7, 15
2018-11-23 21:05:12 (12344332503283) STATS - GET, 24.8, 14
2018-11-23 21:05:12 (12344332595186) STATS - GET, 24.9, 13
2018-11-23 21:05:12 (12344332683589) STATS - GET, 25.0, 10
2018-11-23 21:05:12 (12344332773492) STATS - GET, 25.1, 16
2018-11-23 21:05:12 (12344332872496) STATS - GET, 25.2, 10
2018-11-23 21:05:12 (12344338759301) STATS - GET, 25.3, 13
2018-11-23 21:05:12 (12344338881105) STATS - GET, 25.4, 11
2018-11-23 21:05:12 (12344338982309) STATS - GET, 25.5, 11
2018-11-23 21:05:12 (12344339081512) STATS - GET, 25.6, 9
2018-11-23 21:05:12 (12344339175715) STATS - GET, 25.7, 14
2018-11-23 21:05:12 (12344339270719) STATS - GET, 25.8, 11
2018-11-23 21:05:12 (12344339363922) STATS - GET, 25.9, 17
2018-11-23 21:05:12 (12344339456525) STATS - GET, 26.0, 17
2018-11-23 21:05:12 (12344339549128) STATS - GET, 26.1, 11
2018-11-23 21:05:12 (12344339641332) STATS - GET, 26.2, 15
2018-11-23 21:05:12 (12344339740035) STATS - GET, 26.3, 11
2018-11-23 21:05:12 (12344339837039) STATS - GET, 26.4, 12
2018-11-23 21:05:12 (12344339931342) STATS - GET, 26.5, 10
2018-11-23 21:05:12 (12344340041546) STATS - GET, 26.6, 11
2018-11-23 21:05:12 (12344340191251) STATS - GET, 26.7, 12
2018-11-23 21:05:12 (12344340286454) STATS - GET, 26.8, 16
2018-11-23 21:05:12 (12344340383458) STATS - GET, 26.9, 7
2018-11-23 21:05:12 (12344340473261) STATS - GET, 27.0, 8
2018-11-23 21:05:12 (12344340564064) STATS - GET, 27.1, 8
2018-11-23 21:05:12 (12344340655167) STATS - GET, 27.2, 14
2018-11-23 21:05:12 (12344340746170) STATS - GET, 27.3, 15
2018-11-23 21:05:12 (12344340913776) STATS - GET, 27.4, 9
2018-11-23 21:05:12 (12344341004579) STATS - GET, 27.5, 13
2018-11-23 21:05:12 (12344341092082) STATS - GET, 27.6, 9
2018-11-23 21:05:12 (12344341179885) STATS - GET, 27.7, 7
2018-11-23 21:05:12 (12344341266888) STATS - GET, 27.8, 14
2018-11-23 21:05:12 (12344341354391) STATS - GET, 27.9, 14
2018-11-23 21:05:12 (12344341439494) STATS - GET, 28.0, 3
2018-11-23 21:05:12 (12344341525697) STATS - GET, 28.1, 6
2018-11-23 21:05:12 (12344341613400) STATS - GET, 28.2, 8
2018-11-23 21:05:12 (12344341700303) STATS - GET, 28.3, 11
2018-11-23 21:05:12 (12344341788006) STATS - GET, 28.4, 12
2018-11-23 21:05:12 (12344341875110) STATS - GET, 28.5, 6
2018-11-23 21:05:12 (12344341969213) STATS - GET, 28.6, 10
2018-11-23 21:05:12 (12344342056716) STATS - GET, 28.7, 4
2018-11-23 21:05:12 (12344342143419) STATS - GET, 28.8, 2
2018-11-23 21:05:12 (12344342230122) STATS - GET, 28.9, 5
2018-11-23 21:05:12 (12344342319425) STATS - GET, 29.0, 4
2018-11-23 21:05:12 (12344342416328) STATS - GET, 29.1, 8
2018-11-23 21:05:12 (12344342506532) STATS - GET, 29.2, 8
2018-11-23 21:05:12 (12344342593835) STATS - GET, 29.3, 3
2018-11-23 21:05:12 (12344342821142) STATS - GET, 29.4, 2
2018-11-23 21:05:12 (12344348714948) STATS - GET, 29.5, 1
2018-11-23 21:05:12 (12344348906154) STATS - GET, 29.6, 7
2018-11-23 21:05:12 (12344349185264) STATS - GET, 29.7, 4
2018-11-23 21:05:12 (12344349277567) STATS - GET, 29.8, 3
2018-11-23 21:05:12 (12344349409672) STATS - GET, 29.9, 6
2018-11-23 21:05:12 (12344349505875) STATS - GET, 30.0, 2
2018-11-23 21:05:12 (12344349598279) STATS - GET, 30.1, 2
2018-11-23 21:05:12 (12344349686082) STATS - GET, 30.2, 2
2018-11-23 21:05:12 (12344349815986) STATS - GET, 30.3, 4
2018-11-23 21:05:12 (12344349962991) STATS - GET, 30.4, 4
2018-11-23 21:05:12 (12344350261202) STATS - GET, 30.5, 5
2018-11-23 21:05:12 (12344350348405) STATS - GET, 30.6, 4
2018-11-23 21:05:12 (12344350433708) STATS - GET, 30.7, 1
2018-11-23 21:05:12 (12344350524311) STATS - GET, 30.8, 2
2018-11-23 21:05:12 (12344350648915) STATS - GET, 30.9, 3
2018-11-23 21:05:12 (12344350739618) STATS - GET, 31.0, 0
2018-11-23 21:05:12 (12344350827121) STATS - GET, 31.1, 1
2018-11-23 21:05:12 (12344350913424) STATS - GET, 31.2, 1
2018-11-23 21:05:12 (12344350998927) STATS - GET, 31.3, 2
2018-11-23 21:05:12 (12344351088130) STATS - GET, 31.4, 1
2018-11-23 21:05:12 (12344351173133) STATS - GET, 31.5, 2
2018-11-23 21:05:12 (12344351290438) STATS - GET, 31.6, 1
2018-11-23 21:05:12 (12344351376741) STATS - GET, 31.7, 4
2018-11-23 21:05:12 (12344351462544) STATS - GET, 31.8, 3
2018-11-23 21:05:12 (12344351556347) STATS - GET, 31.9, 3
2018-11-23 21:05:12 (12344351643750) STATS - GET, 32.0, 0
2018-11-23 21:05:12 (12344351730953) STATS - GET, 32.1, 1
2018-11-23 21:05:12 (12344351893259) STATS - GET, 32.2, 0
2018-11-23 21:05:12 (12344352043464) STATS - GET, 32.3, 1
2018-11-23 21:05:12 (12344352138067) STATS - GET, 32.4, 2
2018-11-23 21:05:12 (12344352222670) STATS - GET, 32.5, 1
2018-11-23 21:05:12 (12344352306973) STATS - GET, 32.6, 3
