2018-10-21 19:28:14 (15361716607299) INFO  - START: Middleware listening on address 10.0.0.11:8888.
2018-10-21 19:29:37 (15444162832744) STATS - 22.9, 0
2018-10-21 19:29:37 (15444162984148) STATS - 23.0, 0
2018-10-21 19:29:37 (15444163138753) STATS - 23.1, 0
2018-10-21 19:29:37 (15444163294757) STATS - 23.2, 0
2018-10-21 19:29:37 (15444163449762) STATS - 23.3, 0
2018-10-21 19:29:37 (15444163607467) STATS - 23.4, 0
2018-10-21 19:29:37 (15444163763071) STATS - 23.5, 0
2018-10-21 19:29:37 (15444163917876) STATS - 23.6, 0
2018-10-21 19:29:37 (15444164326288) STATS - 23.7, 0
2018-10-21 19:29:37 (15444164510493) STATS - 23.8, 0
2018-10-21 19:29:37 (15444164714899) STATS - 23.9, 0
2018-10-21 19:29:37 (15444170874980) STATS - 24.0, 0
2018-10-21 19:29:37 (15444171080586) STATS - 24.1, 0
2018-10-21 19:29:37 (15444171242690) STATS - 24.2, 0
2018-10-21 19:29:37 (15444171399295) STATS - 24.3, 0
2018-10-21 19:29:37 (15444171555200) STATS - 24.4, 0
2018-10-21 19:29:37 (15444171716304) STATS - 24.5, 0
2018-10-21 19:29:37 (15444171851508) STATS - 24.6, 0
2018-10-21 19:29:37 (15444172032013) STATS - 24.7, 1
2018-10-21 19:29:37 (15444172197318) STATS - 24.8, 1
2018-10-21 19:29:37 (15444172353723) STATS - 24.9, 1
2018-10-21 19:29:37 (15444172504827) STATS - 25.0, 1
2018-10-21 19:29:37 (15444172660332) STATS - 25.1, 2
2018-10-21 19:29:37 (15444172818337) STATS - 25.2, 0
2018-10-21 19:29:37 (15444172974341) STATS - 25.3, 0
2018-10-21 19:29:37 (15444173128746) STATS - 25.4, 2
2018-10-21 19:29:37 (15444173291150) STATS - 25.5, 3
2018-10-21 19:29:37 (15444173452955) STATS - 25.6, 5
2018-10-21 19:29:37 (15444173611260) STATS - 25.7, 3
2018-10-21 19:29:37 (15444173766164) STATS - 25.8, 4
2018-10-21 19:29:37 (15444173921369) STATS - 25.9, 2
2018-10-21 19:29:37 (15444174115175) STATS - 26.0, 4
2018-10-21 19:29:37 (15444174271679) STATS - 26.1, 5
2018-10-21 19:29:37 (15444174425584) STATS - 26.2, 5
2018-10-21 19:29:37 (15444174631590) STATS - 26.3, 5
2018-10-21 19:29:37 (15444180589864) STATS - 26.4, 2
2018-10-21 19:29:37 (15444180900073) STATS - 26.5, 1
2018-10-21 19:29:37 (15444181079579) STATS - 26.6, 1
2018-10-21 19:29:37 (15444181237483) STATS - 26.7, 2
2018-10-21 19:29:37 (15444181388488) STATS - 26.8, 1
2018-10-21 19:29:37 (15444181544492) STATS - 26.9, 2
2018-10-21 19:29:37 (15444181697097) STATS - 27.0, 2
2018-10-21 19:29:37 (15444181847501) STATS - 27.1, 1
2018-10-21 19:29:37 (15444182003006) STATS - 27.2, 1
2018-10-21 19:29:37 (15444182158110) STATS - 27.3, 0
2018-10-21 19:29:37 (15444182308815) STATS - 27.4, 1
2018-10-21 19:29:37 (15444182497420) STATS - 27.5, 2
2018-10-21 19:29:37 (15444182665325) STATS - 27.6, 0
2018-10-21 19:29:37 (15444182815030) STATS - 27.7, 1
2018-10-21 19:29:37 (15444182965234) STATS - 27.8, 1
2018-10-21 19:29:37 (15444183120238) STATS - 27.9, 0
2018-10-21 19:29:37 (15444183267043) STATS - 28.0, 0
2018-10-21 19:29:37 (15444183417047) STATS - 28.1, 0
2018-10-21 19:29:37 (15444183570552) STATS - 28.2, 0
2018-10-21 19:29:37 (15444183806459) STATS - 28.3, 2
2018-10-21 19:29:37 (15444183960763) STATS - 28.4, 8
2018-10-21 19:29:37 (15444184139168) STATS - 28.5, 1
2018-10-21 19:29:37 (15444184596982) STATS - 28.6, 2
2018-10-21 19:29:37 (15444190685760) STATS - 28.7, 2
2018-10-21 19:29:37 (15444190909867) STATS - 28.8, 2
2018-10-21 19:29:37 (15444191089272) STATS - 28.9, 0
2018-10-21 19:29:37 (15444191260277) STATS - 29.0, 0
2018-10-21 19:29:37 (15444191418882) STATS - 29.1, 2
2018-10-21 19:29:37 (15444191566286) STATS - 29.2, 0
2018-10-21 19:29:37 (15444191716390) STATS - 29.3, 3
2018-10-21 19:29:37 (15444191862795) STATS - 29.4, 4
2018-10-21 19:29:37 (15444192024499) STATS - 29.5, 5
2018-10-21 19:29:37 (15444192172704) STATS - 29.6, 6
2018-10-21 19:29:37 (15444192358009) STATS - 29.7, 5
2018-10-21 19:29:37 (15444192504113) STATS - 29.8, 3
2018-10-21 19:29:37 (15444192647018) STATS - 29.9, 4
2018-10-21 19:29:37 (15444192787722) STATS - 30.0, 1
2018-10-21 19:29:37 (15444192978727) STATS - 30.1, 1
2018-10-21 19:29:37 (15444193126632) STATS - 30.2, 0
2018-10-21 19:29:37 (15444193279936) STATS - 30.3, 2
2018-10-21 19:29:37 (15444193436141) STATS - 30.4, 2
2018-10-21 19:29:37 (15444193580845) STATS - 30.5, 1
2018-10-21 19:29:37 (15444193722949) STATS - 30.6, 1
2018-10-21 19:29:37 (15444193865253) STATS - 30.7, 1
2018-10-21 19:29:37 (15444194007858) STATS - 30.8, 1
2018-10-21 19:29:37 (15444194150562) STATS - 30.9, 3
2018-10-21 19:29:37 (15444194288666) STATS - 31.0, 1
2018-10-21 19:29:37 (15444194430170) STATS - 31.1, 0
2018-10-21 19:29:37 (15444200413645) STATS - 31.2, 1
2018-10-21 19:29:37 (15444200826557) STATS - 31.3, 1
2018-10-21 19:29:37 (15444200997762) STATS - 31.4, 2
2018-10-21 19:29:37 (15444201156167) STATS - 31.5, 0
2018-10-21 19:29:37 (15444201296871) STATS - 31.6, 3
2018-10-21 19:29:37 (15444201467176) STATS - 31.7, 1
2018-10-21 19:29:37 (15444201607780) STATS - 31.8, 2
2018-10-21 19:29:37 (15444201784585) STATS - 31.9, 0
2018-10-21 19:29:37 (15444201918289) STATS - 32.0, 2
2018-10-21 19:29:37 (15444202054493) STATS - 32.1, 0
2018-10-21 19:29:37 (15444202189697) STATS - 32.2, 1
2018-10-21 19:29:37 (15444202330001) STATS - 32.3, 0
2018-10-21 19:29:37 (15444202466505) STATS - 32.4, 0
2018-10-21 19:29:37 (15444202658911) STATS - 32.5, 1
2018-10-21 19:29:37 (15444202863417) STATS - 32.6, 0
2018-10-21 19:29:37 (15444203014621) STATS - 32.7, 1
2018-10-21 19:29:37 (15444203154126) STATS - 32.8, 3
2018-10-21 19:29:37 (15444203330631) STATS - 32.9, 1
2018-10-21 19:29:37 (15444203468135) STATS - 33.0, 0
2018-10-21 19:29:37 (15444203607139) STATS - 33.1, 2
2018-10-21 19:29:37 (15444203744143) STATS - 33.2, 2
2018-10-21 19:29:37 (15444203880547) STATS - 33.3, 0
2018-10-21 19:29:37 (15444204105053) STATS - 33.4, 0
2018-10-21 19:29:37 (15444204261758) STATS - 33.5, 1
2018-10-21 19:29:37 (15444204402862) STATS - 33.6, 2
2018-10-21 19:29:37 (15444204537666) STATS - 33.7, 3
2018-10-21 19:29:37 (15444210531642) STATS - 33.8, 3
2018-10-21 19:29:37 (15444210748248) STATS - 33.9, 0
2018-10-21 19:29:37 (15444210904953) STATS - 34.0, 3
2018-10-21 19:29:37 (15444211039657) STATS - 34.1, 1
2018-10-21 19:29:37 (15444211194861) STATS - 34.2, 0
2018-10-21 19:29:37 (15444211355066) STATS - 34.3, 0
2018-10-21 19:29:37 (15444211487270) STATS - 34.4, 0
2018-10-21 19:29:37 (15444211619074) STATS - 34.5, 0
2018-10-21 19:29:37 (15444211750678) STATS - 34.6, 0
2018-10-21 19:29:37 (15444211880381) STATS - 34.7, 0
2018-10-21 19:29:37 (15444212028686) STATS - 34.8, 1
2018-10-21 19:29:37 (15444212168390) STATS - 34.9, 0
2018-10-21 19:29:37 (15444212303494) STATS - 35.0, 0
2018-10-21 19:29:37 (15444212460798) STATS - 35.1, 1
2018-10-21 19:29:37 (15444212593502) STATS - 35.2, 0
2018-10-21 19:29:37 (15444212724906) STATS - 35.3, 0
2018-10-21 19:29:37 (15444213149118) STATS - 35.4, 1
2018-10-21 19:29:37 (15444213325724) STATS - 35.5, 0
2018-10-21 19:29:37 (15444213463728) STATS - 35.6, 1
2018-10-21 19:29:37 (15444213601432) STATS - 35.7, 0
2018-10-21 19:29:37 (15444213764037) STATS - 35.8, 0
2018-10-21 19:29:37 (15444213903441) STATS - 35.9, 0
2018-10-21 19:29:37 (15444214032444) STATS - 36.0, 0
2018-10-21 19:29:37 (15444214162048) STATS - 36.1, 0
2018-10-21 19:29:37 (15444214296652) STATS - 36.2, 0
2018-10-21 19:29:37 (15444214426856) STATS - 36.3, 0
2018-10-21 19:29:37 (15444220419432) STATS - 36.4, 0
2018-10-21 19:29:37 (15444220980148) STATS - 36.5, 0
2018-10-21 19:29:37 (15444221186854) STATS - 36.6, 0
2018-10-21 19:29:37 (15444221375860) STATS - 36.7, 0
2018-10-21 19:29:37 (15444221535764) STATS - 36.8, 0
2018-10-21 19:29:37 (15444221730870) STATS - 36.9, 1
2018-10-21 19:29:37 (15444221862874) STATS - 37.0, 0
2018-10-21 19:29:37 (15444221988378) STATS - 37.1, 1
2018-10-21 19:29:37 (15444222112681) STATS - 37.2, 0
2018-10-21 19:29:37 (15444222255385) STATS - 37.3, 0
2018-10-21 19:29:37 (15444222384489) STATS - 37.4, 0
2018-10-21 19:29:37 (15444222542194) STATS - 37.5, 0
2018-10-21 19:29:37 (15444222692198) STATS - 37.6, 0
2018-10-21 19:29:37 (15444222821402) STATS - 37.7, 3
2018-10-21 19:29:37 (15444222945706) STATS - 37.8, 0
2018-10-21 19:29:37 (15444223075009) STATS - 37.9, 0
2018-10-21 19:29:37 (15444223195013) STATS - 38.0, 0
2018-10-21 19:29:37 (15444223318517) STATS - 38.1, 1
