2018-11-20 21:29:28 (1759372422177) INFO  - START: Middleware listening on address 10.0.0.11:8888.
2018-11-20 21:30:53 (1843947727238) STATS -  5.00, 647, 0, 0.414409, 3.773454, 4.887193, 3.646756, 0.000000, 6.127630, 812, 0, 2426, 0.00, 0.00, 6
2018-11-20 21:30:53 (1844340178838) STATS - SET, 28.9, 0
2018-11-20 21:30:53 (1844340261440) STATS - SET, 29.0, 0
2018-11-20 21:30:53 (1844340610748) STATS - SET, 29.1, 0
2018-11-20 21:30:53 (1844340706050) STATS - SET, 29.2, 0
2018-11-20 21:30:53 (1844340834553) STATS - SET, 29.3, 0
2018-11-20 21:30:53 (1844340925255) STATS - SET, 29.4, 0
2018-11-20 21:30:53 (1844341010157) STATS - SET, 29.5, 0
2018-11-20 21:30:53 (1844341094659) STATS - SET, 29.6, 0
2018-11-20 21:30:53 (1844341184361) STATS - SET, 29.7, 0
2018-11-20 21:30:53 (1844341272563) STATS - SET, 29.8, 0
2018-11-20 21:30:53 (1844341357465) STATS - SET, 29.9, 0
2018-11-20 21:30:53 (1844341441166) STATS - SET, 30.0, 0
2018-11-20 21:30:53 (1844341525468) STATS - SET, 30.1, 1
2018-11-20 21:30:53 (1844341610270) STATS - SET, 30.2, 0
2018-11-20 21:30:53 (1844341695072) STATS - SET, 30.3, 0
2018-11-20 21:30:53 (1844341882176) STATS - SET, 30.4, 0
2018-11-20 21:30:53 (1844342133482) STATS - SET, 30.5, 0
2018-11-20 21:30:53 (1844342410388) STATS - SET, 30.6, 0
2018-11-20 21:30:53 (1844342501490) STATS - SET, 30.7, 0
2018-11-20 21:30:53 (1844342618193) STATS - SET, 30.8, 0
2018-11-20 21:30:53 (1844342703694) STATS - SET, 30.9, 0
2018-11-20 21:30:53 (1844342786196) STATS - SET, 31.0, 0
2018-11-20 21:30:53 (1844342873298) STATS - SET, 31.1, 0
2018-11-20 21:30:53 (1844348307819) STATS - SET, 31.2, 0
2018-11-20 21:30:53 (1844348499123) STATS - SET, 31.3, 0
2018-11-20 21:30:53 (1844348613125) STATS - SET, 31.4, 0
2018-11-20 21:30:53 (1844348701427) STATS - SET, 31.5, 0
2018-11-20 21:30:53 (1844348786629) STATS - SET, 31.6, 0
2018-11-20 21:30:53 (1844348871131) STATS - SET, 31.7, 0
2018-11-20 21:30:53 (1844348954433) STATS - SET, 31.8, 0
2018-11-20 21:30:53 (1844349037635) STATS - SET, 31.9, 0
2018-11-20 21:30:53 (1844349118237) STATS - SET, 32.0, 0
2018-11-20 21:30:53 (1844349200838) STATS - SET, 32.1, 0
2018-11-20 21:30:53 (1844349283140) STATS - SET, 32.2, 0
2018-11-20 21:30:53 (1844349365942) STATS - SET, 32.3, 0
2018-11-20 21:30:53 (1844349448344) STATS - SET, 32.4, 0
2018-11-20 21:30:53 (1844349530546) STATS - SET, 32.5, 0
2018-11-20 21:30:53 (1844349612348) STATS - SET, 32.6, 0
2018-11-20 21:30:53 (1844349693949) STATS - SET, 32.7, 1
2018-11-20 21:30:53 (1844349776051) STATS - SET, 32.8, 0
2018-11-20 21:30:53 (1844349858153) STATS - SET, 32.9, 0
2018-11-20 21:30:53 (1844349938755) STATS - SET, 33.0, 0
2018-11-20 21:30:53 (1844350021057) STATS - SET, 33.1, 0
2018-11-20 21:30:53 (1844350102958) STATS - SET, 33.2, 0
2018-11-20 21:30:53 (1844350189260) STATS - SET, 33.3, 0
2018-11-20 21:30:53 (1844350271462) STATS - SET, 33.4, 0
2018-11-20 21:30:53 (1844350353064) STATS - SET, 33.5, 0
2018-11-20 21:30:53 (1844350435366) STATS - SET, 33.6, 0
2018-11-20 21:30:53 (1844350516668) STATS - SET, 33.7, 0
